CountySt,DIRSALES_FARMS12,MEDHHINC15,METRO13,PCT_18YOUNGER10,PCT_65OLDER10,PCT_DIABETES_ADULTS13,PCT_HISP10,PCT_LACCESS_HHNV15,PCT_LACCESS_POP15,PCT_LACCESS_SNAP15,PCT_NHBLACK10,PCT_NHWHITE10,POVRATE15,SNAPSPTH12,2010_Census_Population,HDM,PCA,healthy_store_ratio,healthy_restaurant_ratio,sum_farms,has_food_tax,has_soda_tax,has_chip_tax,has_recfac,has_slaughter,has_fmrkt,PCA_dt_medinc,PCA_dt_allinc
"Codington, SD",-0.22262956564382042,0.5639472618770892,0.0,0.5671731384235646,-0.2226883173207437,-1.2529876254001933,-0.6781041674187558,-0.25489186340074016,1.0933657735161755,0.44158418621370354,-0.8052355761607721,0.6926966213318634,-0.8444850779006299,-1.3134173914179792,0.03171066070420835,-0.761352674464305,1.177671760383916,-0.715217795675016,0.7315152969860136,-0.6627237321480087,1.0,1.0,1.0,1.0,0.0,1.0,0.8152248558980358,0.6011957681212617
"Coffee, GA",-0.34415365894707195,-1.4110656838167028,0.0,1.027677740010507,-1.2766470054621883,0.2110697649159576,0.7782222492687307,1.2295494431804972,-0.2808595087093502,0.42473074569664215,1.2959011919576422,-0.9441953661273725,1.0955556636289017,1.748557403328748,0.37048018008192835,0.14130544353942923,-0.1467449782865839,-0.9896968352818815,-0.5206614945725153,0.45008014513662276,0.0,0.0,0.0,1.0,0.0,0.0,0.7591456030357007,0.9267191895372298
"Coffee, TN",0.5134914249316125,-0.24702688045477456,0.0,0.4014706794958031,0.028665015210342676,0.8126540791496972,0.09680943088956799,0.04638799352634166,-0.15221553198120527,0.852183155477583,0.3060909159498082,0.2053413458905973,0.14985263570524862,0.785855458941397,0.5308317326993727,1.3031261744955687,-1.225671936917154,-1.109377725663068,0.22391579796511588,-0.15619936674212717,1.0,1.0,1.0,1.0,0.0,1.0,-1.0673177464110715,-0.9915699135882291
"Coffey, KS",-0.18165197670757277,0.896054874455538,0.0,0.3650985652518335,0.4075904819956178,-0.48648036042064524,-0.42233069734648276,-0.1842974732431254,1.200399878729081,0.453764704824415,-0.44761197889438115,0.7816628112664844,-1.0752065081884394,0.5793110913955093,-0.883727105334553,0.007109282553107643,0.28829290851153105,-0.8625437144150381,-0.3641905599849687,-1.2447784131572894,1.0,1.0,1.0,0.0,0.0,1.0,-0.2874308432344727,-0.07843986013356968
"Coke, TX",-1.1619759226681268,-0.46562657612737957,0.0,-0.7746987460340797,2.038070774642133,0.6271963576001219,1.1336839661622553,0.4949370412917955,2.0730049930984884,1.7739773582597131,-1.1779599557812057,-0.31176089133212737,-0.2652838681602035,1.5215496245645845,-1.5473729623506558,0.4142668635342554,-0.537940158058982,-0.715217795675016,2.0431151448021514,0.5235370133423165,0.0,1.0,0.0,0.0,1.0,0.0,-0.2392029948679152,-0.14158741070754594
"Cole, MO",0.6165409744753192,0.8291618606213284,1.0,0.11684024712637396,-0.9745032175813352,-0.3979179193672613,-0.29496407963266685,-0.031182410610260534,0.48945290378291767,0.46110247882116845,0.8263136767829034,-0.1878540641383112,-0.5790394381393529,-0.738099985365756,0.7526988386043989,0.07717072088291992,0.21354594171995867,-0.09927374872396871,-0.24646666830409475,0.3018547881702473,1.0,1.0,1.0,1.0,0.0,1.0,-0.31921965262783714,-0.22775992123604144
"Coleman, TX",-0.34415365894707195,-1.2570967366138244,0.0,-0.38209695442831376,1.3399362960912873,0.25101591868327155,1.04938626087513,-0.061814413857305295,0.03504100960631269,0.08336890741356175,0.1043352743203743,-0.30439639417924996,0.7748328448180757,1.2640651412229023,-0.8527227424957917,0.5949074252821216,-0.43072729929545694,-0.46540473826743733,0.34548507371979836,1.1669186011353172,0.0,1.0,0.0,0.0,1.0,0.0,0.3762856580529612,0.23049093464633852
"Coles, IL",0.06402672253786497,-0.4539734488900344,0.0,-1.6148860461420882,-0.5378967185527941,-0.9694267073728421,-0.3841682444395587,-0.22131929976552672,-0.3048109238879277,0.2555962117880029,0.3384704433321978,0.330889888020227,1.002056477837372,-0.48103874415131337,0.5407446462084549,0.5536702189130466,0.20584643937521702,-0.037645951375149304,-0.25650171976732944,-0.0351351513638127,1.0,1.0,1.0,1.0,0.0,1.0,0.49710005764358206,0.41006230144913314
"Colfax, NE",-1.529558186142137,0.346512609732057,0.0,1.6158249751479212,-0.5874914669011743,-1.1400769252954,1.710690895496153,-0.7717516561808795,0.5540789815365714,-0.4803736709069934,-0.5470388727491108,-1.0860570985584967,-0.8074289049225601,-0.19618166950356852,-0.707752417143333,-1.0374200608834339,1.2571446254242928,1.579968353041126,1.2529876254001933,-1.4284820653066659,0.0,0.0,0.0,0.0,0.0,1.0,1.0343325120067444,0.8383613856268954
"Colfax, NM",-0.7970440901329314,-1.0836470790544515,0.0,-0.9196731131601195,0.9794050551979161,-0.8302341575863221,1.8255406319605734,1.493418926272156,1.626272030848797,1.7085198656956928,-0.9281497743921288,-1.298232335340115,0.7266058109575452,-0.4638208928580501,-0.5189501882414022,-0.9223302184168565,0.9904374987974114,-1.109377725663068,0.7315152969860136,-0.2730890226527413,0.0,0.0,0.0,1.0,1.0,1.0,1.6860624761010394,1.5781121009391077
