CountySt,DIRSALES_FARMS12,MEDHHINC15,METRO13,PCT_18YOUNGER10,PCT_65OLDER10,PCT_DIABETES_ADULTS13,PCT_HISP10,PCT_LACCESS_HHNV15,PCT_LACCESS_POP15,PCT_LACCESS_SNAP15,PCT_NHBLACK10,PCT_NHWHITE10,POVRATE15,SNAPSPTH12,2010_Census_Population,HDM,PCA,healthy_store_ratio,healthy_restaurant_ratio,sum_farms,has_food_tax,has_soda_tax,has_chip_tax,has_recfac,has_slaughter,has_fmrkt
"Madison, IN",34.0,45065.0,1.0,23.08563007,15.37117506,12.2,3.182260172,2.367174817,26.10795281,3.750504174,8.270533897,86.28110851,16.7,0.801700064,131636.0,355.2,-0.24292653827863794,0.5714285714285714,1.2361111111111112,27.0,0.0,1.0,0.0,1.0,0.0,1.0
"Madison, KY",56.0,46342.0,0.0,21.52781128,11.23064306,10.5,2.186550244,3.434228204,22.01593329,5.057987072,4.299532057,90.41318925,18.2,0.913083135,82916.0,362.8,0.17700097728727723,0.28,0.6610169491525424,89.0,0.0,1.0,0.0,1.0,0.0,1.0
"Madison, MO",16.0,35745.0,0.0,23.9734991,17.72452151,11.2,1.995746769,3.213317335,14.21674918,2.680336916,0.261737281,96.36021593,19.3,0.656062554,12226.0,486.8,-1.0653079352483454,0.5,1.8571428571428572,8.0,1.0,1.0,1.0,1.0,1.0,1.0
"Madison, MS",8.0,67482.0,1.0,26.94032751,10.41668855,10.2,2.947386112,1.911385056,20.37201042,2.084306592,38.0523723,55.97197567,12.7,0.688040785,95203.0,380.3,0.11517971973305278,0.4642857142857143,0.8651685393258427,32.0,1.0,1.0,1.0,1.0,1.0,1.0
"Madison, MT",31.0,49872.0,0.0,17.73501495,20.95956313,9.4,2.41841113,1.60468639,30.19206039,1.769085776,0.195033156,95.37121311,11.4,0.72201388,7691.0,233.4,1.5785829495786634,1.1666666666666667,5.25,31.0,0.0,0.0,0.0,1.0,0.0,1.0
"Madison, NC",111.0,37899.0,1.0,19.70718551,17.6555577,10.5,2.037179734,4.326227377,12.2055098,3.172964207,1.122134463,95.03949143,20.9,0.803522643,20764.0,355.7,0.23672533792924655,0.6,1.5714285714285714,235.0,0.0,1.0,0.0,0.0,0.0,1.0
"Madison, NE",19.0,51330.0,0.0,25.02293841,14.69205184,9.4,12.91432504,1.864402177,24.75859174,2.239218231,1.17272623,83.32951026,13.8,0.630394032,34876.0,362.4,0.4934501998865485,0.7777777777777778,0.7575757575757576,33.0,0.0,0.0,0.0,1.0,1.0,1.0
"Madison, NY",134.0,58094.0,1.0,21.79270717,13.94161379,9.6,1.791890199,1.043348931,19.29338073,0.272476361,1.715639552,93.8373138,12.9,0.68502298,73442.0,310.1,0.8764671679394134,1.0,1.6666666666666667,174.0,0.0,1.0,0.0,1.0,1.0,1.0
"Madison, OH",54.0,63736.0,1.0,22.57856567,12.40704501,10.7,1.432024865,4.032934623,28.68763687,5.60731364,6.566133303,89.77552665,9.3,0.696815553,43435.0,343.6,0.2815846584036385,0.7333333333333333,0.76,42.0,0.0,1.0,0.0,1.0,0.0,1.0
"Madison, TN",27.0,46694.0,1.0,24.04419395,13.15644902,14.2,3.36337925,2.852764819,23.64595936,4.548032954,36.14666205,58.05033878,18.1,1.021225268,98294.0,398.3,-1.1747231337244548,0.38028169014084506,1.077922077922078,24.0,1.0,1.0,1.0,1.0,0.0,1.0
"Madison, TX",30.0,40857.0,0.0,21.95550351,13.91247073,9.1,19.67213115,2.553332348,27.8946327,2.280428951,19.66481265,58.7675644,19.2,0.664131998,13664.0,427.0,0.03542931046799351,0.18181818181818182,0.9285714285714286,47.0,0.0,1.0,0.0,0.0,1.0,0.0
"Madison, VA",55.0,53655.0,0.0,22.31740307,17.5082657,11.4,1.773369402,4.985763131,2.823359877,0.299660774,9.708446047,85.61767358,10.4,0.789141414,13308.0,286.7,0.5609851599711445,0.8571428571428571,1.0,91.0,1.0,1.0,1.0,1.0,0.0,1.0
"Magoffin, KY",19.0,29921.0,0.0,23.95559889,12.9078227,13.4,0.712517813,9.371384503,1.73800976,0.551340594,0.135003375,98.29745744,32.6,1.9106408,13333.0,500.7,-1.8084020317722107,0.2727272727272727,0.6666666666666666,29.0,0.0,1.0,0.0,0.0,0.0,0.0
"Mahaska, IA",34.0,50335.0,0.0,24.31079934,16.07613601,10.1,1.608507216,2.360581636,22.94849961,3.212209683,1.121486976,94.91086189,14.4,1.017392208,22381.0,298.0,0.8359398148082471,0.5,0.9166666666666666,26.0,0.0,1.0,0.0,1.0,0.0,1.0
"Mahnomen, MN",16.0,40849.0,0.0,29.29983373,15.79530759,11.2,1.828930353,7.406423665,35.18780888,6.685644255,0.203214484,49.84297063,21.5,1.445086705,5413.0,356.1,0.03412501347071996,0.5,1.3333333333333333,3.0,0.0,1.0,0.0,0.0,0.0,1.0
"Mahoning, OH",94.0,42443.0,1.0,21.49625455,17.88018742,12.5,4.662867479,3.710581375,26.53375926,5.938666506,15.2414131,77.55953154,16.8,0.841324856,238823.0,428.6,-0.9457453345772296,0.7142857142857143,0.9152542372881356,99.0,0.0,1.0,0.0,1.0,0.0,1.0
"Major, OK",23.0,55020.0,0.0,23.22306364,19.23741198,11.6,7.506310615,1.359092313,18.05677614,1.097209707,0.425136176,88.06961605,10.8,1.301574906,7527.0,410.0,-0.5331243126421562,0.3333333333333333,2.0,41.0,1.0,1.0,1.0,1.0,0.0,0.0
"Malheur, OR",58.0,37604.0,0.0,25.56126848,14.99057899,8.9,31.51087408,1.181417679,11.27046345,2.063577484,1.057068949,63.57104078,24.9,0.895091958,31313.0,337.4,0.8460583670764549,1.25,1.5416666666666667,125.0,0.0,0.0,0.0,1.0,1.0,1.0
"Manatee, FL",43.0,50728.0,1.0,20.53166808,23.26558933,10.6,14.85442938,1.14029406,21.74650531,1.720636147,8.434082018,73.39708146,14.8,0.715544308,322833.0,269.5,0.933367322878249,0.5869565217391305,1.5493827160493827,166.0,0.0,1.0,0.0,1.0,0.0,1.0
"Manistee, MI",52.0,41811.0,0.0,19.06764242,20.65256944,11.1,2.563376865,3.084874443,10.02384845,1.098759941,2.903004084,90.57534468,15.0,1.232841548,24733.0,291.4,0.6068359892080757,0.7368421052631579,2.7777777777777777,99.0,0.0,0.0,0.0,0.0,0.0,1.0
"Manitowoc, WI",97.0,51951.0,0.0,22.35947054,16.83897743,8.6,3.149480612,2.405375042,16.89898922,1.97918834,0.505881486,92.34792859,10.7,0.426629974,81442.0,316.7,1.1055709935395852,0.5135135135135135,1.75,82.0,0.0,1.0,0.0,1.0,0.0,1.0
"Marathon, WI",189.0,56347.0,1.0,24.51757756,14.1634903,9.1,2.231786548,2.187301625,22.50498352,2.324455564,0.61165273,90.26129506,9.5,0.594995114,134063.0,240.1,1.6076100152544763,0.9574468085106383,1.527027027027027,185.0,0.0,1.0,0.0,1.0,1.0,1.0
"Maricopa, AZ",218.0,56017.0,1.0,26.40372302,12.12016818,9.0,29.57051094,0.980829339,13.39271425,1.345576759,4.649844372,58.68447312,16.3,0.531306496,3817117.0,255.1,1.509894013081277,0.792,0.8510558069381599,507.0,0.0,0.0,0.0,1.0,1.0,1.0
"Maries, MO",55.0,43970.0,0.0,23.47428073,17.93809939,12.4,0.817349608,1.568584144,5.750726099,0.501869099,0.261551874,97.12292938,15.4,0.61016197,9176.0,429.7,-0.9265361800006582,0.42857142857142855,3.0,33.0,1.0,1.0,1.0,0.0,1.0,0.0
"Marin, CA",66.0,99868.0,1.0,20.68626713,16.71572725,7.9,15.47844966,0.415026454,11.96018156,0.310811297,2.623123581,72.83020811,7.5,0.389543443,252409.0,196.6,2.315073567131028,2.022222222222222,1.7616279069767442,171.0,0.0,1.0,0.0,1.0,0.0,1.0
"Marinette, WI",64.0,48545.0,0.0,20.52025198,19.77053343,11.5,1.250329349,2.543983366,26.26209368,3.471617119,0.253898297,96.43344751,12.7,0.599491535,41749.0,376.3,-0.22118167210213097,0.4358974358974359,2.037037037037037,51.0,0.0,1.0,0.0,1.0,0.0,1.0
